央视,#genre#
父辈的荣耀,http://192.168.0.101:35455/rptv/COSHD-4000k-1080P-fbdry.m3u8?license=gitv
繁城之下,http://192.168.0.101:35455/rptv/COSHD-4000k-1080P-fczx.m3u8?license=gitv
小日子,http://192.168.0.101:35455/rptv/COSHD-4000k-1080P-xiaorizi.m3u8?license=gitv
谢谢你温暖我,http://192.168.0.101:35455/rptv/COSHD-4000k-1080P-xxnwnw.m3u8?license=gitv
当你沉睡时,http://192.168.0.101:35455/rptv/COSHD-4000k-1080P-dncss.m3u8?license=gitv
梨园经典荟萃,http://192.168.0.101:35455/rptv/COSHD-4000k-1080P-lyjdhc.m3u8?license=gitv
W两个世界,http://192.168.0.101:35455/rptv/COSHD-1500k-1080P-wlgsj.m3u8?license=gitv
烟火人家,http://192.168.0.101:35455/rptv/cos-yanhuorenjia.m3u8?license=gitv

江苏,#genre#
江苏城市,http://192.168.0.101:35455/rptv/G_JSCS.m3u8?license=gitv
江苏公共,http://192.168.0.101:35455/rptv/G_JSGG.m3u8?license=gitv
江苏教育,http://192.168.0.101:35455/rptv/G_JSJY.m3u8?license=gitv
江苏体育,http://192.168.0.101:35455/rptv/G_JSTY.m3u8?license=gitv
江苏影视,http://192.168.0.101:35455/rptv/G_JSYS.m3u8?license=gitv
江苏综艺,http://192.168.0.101:35455/rptv/G_JSZY.m3u8?license=gitv
南京新闻,http://192.168.0.101:35455/rptv/G_NJXW.m3u8?license=gitv
南京影视,http://192.168.0.101:35455/rptv/G_NJYS.m3u8?license=gitv
南京少儿,http://192.168.0.101:35455/rptv/G_NJSE.m3u8?license=gitv
南京生活,http://192.168.0.101:35455/rptv/G_NJSH.m3u8?license=gitv
南京信息,http://192.168.0.101:35455/rptv/G_NJXX.m3u8?license=gitv
南京娱乐,http://192.168.0.101:35455/rptv/G_NJYL.m3u8?license=gitv
南京教科,http://192.168.0.101:35455/rptv/G_NJJK.m3u8?license=gitv
南京十八,http://192.168.0.101:35455/rptv/G_NJSB.m3u8?license=gitv
徐州新闻,http://192.168.0.101:35455/rptv/xzxwzh.m3u8?license=gitv
徐州经济,http://192.168.0.101:35455/rptv/xzjjsh.m3u8?license=gitv
徐州影视,http://192.168.0.101:35455/rptv/xzwyys.m3u8?license=gitv
徐州公共,http://192.168.0.101:35455/rptv/xzgg.m3u8?license=gitv
徐州新沂,http://192.168.0.101:35455/rptv/G_XZXYTV-3.m3u8?license=gitv
沛县新闻,http://192.168.0.101:35455/rptv/xzpxxwzh.m3u8?license=gitv
沛县综艺,http://192.168.0.101:35455/rptv/xzpxzy.m3u8?license=gitv
沛县生活,http://192.168.0.101:35455/rptv/xzpxsh.m3u8?license=gitv
泰州一套,http://192.168.0.101:35455/rptv/G_TAIZHOUTV-1.m3u8?license=gitv
泰州二套,http://192.168.0.101:35455/rptv/G_TAIZHOUTV-2.m3u8?license=gitv
泰州三套,http://192.168.0.101:35455/rptv/G_TAIZHOUTV-3.m3u8?license=gitv
连云港新闻,http://192.168.0.101:35455/rptv/jslygxinwenzh.m3u8?license=gitv
连云港公共,http://192.168.0.101:35455/rptv/jslyggonggongpd.m3u8?license=gitv
东海新闻,http://192.168.0.101:35455/rptv/jsdonghaixinwen.m3u8?license=gitv
东海文娱,http://192.168.0.101:35455/rptv/jsdonghaiwenyu.m3u8?license=gitv
常州新闻,http://192.168.0.101:35455/rptv/jsczxinwen.m3u8?license=gitv
常州都市,http://192.168.0.101:35455/rptv/jsczdushi.m3u8?license=gitv
常州生活,http://192.168.0.101:35455/rptv/jsczshenghuo.m3u8?license=gitv
常州公共,http://192.168.0.101:35455/rptv/jsczgonggong.m3u8?license=gitv
睢宁综合,http://192.168.0.101:35455/rptv/xzsnzh.m3u8?license=gitv
睢宁资讯,http://192.168.0.101:35455/rptv/xzsnzx.m3u8?license=gitv
睢宁生活,http://192.168.0.101:35455/rptv/xzsnshjy.m3u8?license=gitv
睢宁三农,http://192.168.0.101:35455/rptv/xzsnsn.m3u8?license=gitv
南通一套,http://192.168.0.101:35455/rptv/jsntyitao.m3u8?license=gitv
南通二套,http://192.168.0.101:35455/rptv/jsntertao.m3u8?license=gitv
铜山一套,http://192.168.0.101:35455/rptv/G_TONGSHAN-1.m3u8?license=gitv
铜山二套,http://192.168.0.101:35455/rptv/G_TONGSHAN-2.m3u8?license=gitv
铜山三套,http://192.168.0.101:35455/rptv/G_TONGSHAN-3.m3u8?license=gitv
铜山四套,http://192.168.0.101:35455/rptv/G_TONGSHAN-4.m3u8?license=gitv
盐城一套,http://192.168.0.101:35455/rptv/G_YANCHENGTV-1.m3u8?license=gitv
盐城二套,http://192.168.0.101:35455/rptv/G_YANCHENGTV-2.m3u8?license=gitv
盐城三套,http://192.168.0.101:35455/rptv/G_YANCHENGTV-3.m3u8?license=gitv
公共崇川,http://192.168.0.101:35455/rptv/jsntsantao.m3u8?license=gitv
宝应新闻,http://192.168.0.101:35455/rptv/G_BAOYINGXW.m3u8?license=gitv
